Method	Functional Description
isTimeBased	检查此单位是否代表某个时间的组成部分。
getParentLogger	返回此驱动程序使用的所有记录器的父记录器。
removeVetoableChangeListener	从 
               BeanContextChild删除 
               VetoableChangeListener ，以便在指定的属性更改时不再接收事件。
setModel	设置将提供数据的树模型
getIcon	返回此窗格显示的图标
getMinTileX	返回X方向上的最小tile索引。
getTimestamp	使用给定的 
               Calendar对象检索JDBC 
               TIMESTAMP参数的值作为 
               java.sql.Timestamp对象，以构造 
               Timestamp对象。
minus	返回此年月份的副本，并减去指定的金额。
processKeyEvent	处理重要事件。
setBlob	将指定参数设置为 
               InputStream对象。
append	将指定的字符序列追加到此缓冲区 
               （可选操作） 。
fireRowSorterChanged	通知监听器映射已更改
canSetParameter	检查是否支持将参数设置为特定值。
rowAtPoint	返回点所在的行的索引，如果结果不在范围内，则为-1
readFully	读取 
               len从根据当前字节顺序的流long（有符号的64位整数），并将其存储到 
               l开始于索引 
               off 。
uis	包含真实UI的向量。
getData	将图像作为一个大图块返回（对于基于图块的图像，这将需要获取整个图像并复制图像数据）。
writeTime	将下一个属性作为java.sql.Time对象写入流中。
plusSeconds	返回此 
               ZonedDateTime的副本，并添加指定的秒数。
get	获取指定字段的 
               int 。
removeTabAt	移除索引处的选项卡
getMaximumAccessibleValue	获取此对象的最大值为 
               Number 。
hashCode	给定 
               #equals的定义，返回合适的哈希码。
parameterModeOut	常量表示参数的模式为OUT。
getName	返回此文件对象的用户友好名称。
getVolatileOffscreenBuffer	返回应与指定组件c一起用作双缓冲的易失性屏幕外缓冲区
createCompatibleWritableRaster	创建一个具有指定宽度和高度的可写栅格，其数据布局（样本模型）与此颜色模型兼容
visitUnknown	访问未知类型。
setMinimum	将进度条数据模型中存储的进度条最小值设置为n
mismatch	查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。
writeEmptyElement	将空元素标记写入输出
transform	根据最后指定的先应用规则，将一个仿射变换对象与此graphics2d中的变换组合
toLocalTime	获取此日期时间的 
               LocalTime部分。
setAsciiStream	将指定参数设置为给定输入流，该输入流将具有指定的字节数。
setJmEnuBar	在层叠窗格中添加或更改菜单栏
getBorderInsets	返回边框的insets。
isOverlap	此转换是否表示本地时间线的重叠。
getSize	返回指定条目的大小
setForeground	设置此对象的前景色。
uis	包含真实UI的向量。
setColumnDisplaySize	将chars中指定列的正常最大宽度设置为给定的 
               int 。
setIcon	返回此JMenuItem的字符串表示
scrollRectToVisible	滚动视图以使视图内的矩形变得可见
getNextMatch	返回以前缀开头的下一个树元素的树路径
paramString	返回此JSlider的字符串表示
setNullable	设置指定列的值是否可以设置为 
               NULL 。
resolveEntity	检索资源。
preferredLayoutSize	返回第一个且唯一子项加上父项insets的大小的首选大小
dragExit	在拖动操作正在进行时调用，当鼠标指针退出注册该侦听器的 
               DropTarget的放置站点的可操作部分时。
startEntity	报告一些内部和外部XML实体的开头。
setColumnTypeName	将指定列的类型名称（如果有）设置为给定的 
               String 。
setColumnModel	将此表的列模型设置为新模型，并注册新列模型的监听器通知
getTextField	返回此编辑器的JFormattedTextField子项
getAccessibleText	获取与此对象关联的可访问文本（如果存在）
tableChanged	此细粒度通知告诉侦听器更改的单元格，行或列的确切范围。
getScrollableUnitIncrement	显示逻辑行或列的组件应计算滚动增量，该增量将完全显示一个新行或列，具体取决于方向的值。
comboIcon	图标。
resolveResource	实现LSResourceResolver 。
fireTreeExpanded	通知所有已注册此事件类型通知兴趣的监听器
getList	返回为此模型定义序列的列表
dragDropEnd	调用此方法表示拖放操作已完成。
wrap	将短数组包装到缓冲区中。
setModel	设置与此TabbedPane一起使用的模型
fireValueChanged	通知所有已注册此事件类型通知兴趣的监听器
getName	返回属性的名称。
getGroup	返回按钮所属的组。
iconOnly	iconOnly价值。
getFont	获取当前字体
setDate	使用给定的 
               Calendar对象将指定参数设置为给定的 
               java.sql.Date值。
hasArray	判断此缓冲区是否由可访问的int数组支持。
thenCombineAsync	返回一个新的CompletionStage，当这个和另一个给定的阶段都正常完成时，使用这个阶段的默认异步执行工具执行，其中两个结果作为所提供函数的参数。
setClob	使用给定的 
               Clob值设置此 
               RowSet对象命令中的指定参数。
uis	包含真实UI的向量。
comboBox	JComboBox的实例。
getDeclaredAnnotation	如果 
               直接存在这样的注释，则返回指定类型的此元素的注释，否则返回null。
lastChild	将 
               TreeWalker移动到当前节点的最后一个可见子节点，并返回新节点。
icHdrRenderingIntent	ICC配置文件标题位置：渲染意图。
setUpdateSelectionOnSort	指定排序后是否应更新选择
removeTreeModelListener	删除以前使用 
               addTreeModelListener添加的侦听 
               addTreeModelListener 。
getBigDecimal	以 
               java.math.BigDecimal对象的形式检索JDBC 
               NUMERIC参数的值，该值包含小数点右侧的位数。
of	返回包含五个元素的不可修改集。
contentEquals	将此名称与指定的 
               CharSequence 。
close	关闭此 
               PooledConnection对象表示的物理连接。
setTimestamp	使用给定的 
               Calendar对象将指定参数设置为给定的 
               java.sql.Timestamp值。
paint	根据给定的属性绘制CSS列表装饰。
getApplets	已过时。
getXPathFunctionResolver	返回当前的函数解析器。
writeDate	将下一个属性作为java.sql.Date对象写入流中。
writeCharacterStream	将下一个属性作为Unicode字符流写入流中。
setTimestamp	将指定参数设置为给定的 
               java.sql.Timestamp值。
getRow	从TabbedPane中移除所有选项卡及其对应的组件
showConfirmDialog	创建并返回一个JInternalFrame实例
setDate	使用运行应用程序的虚拟机的默认时区将指定参数设置为给定的 
               java.sql.Date值。
getChildren	返回此节点的子节点上的迭代器。
getTimestamp	使用给定的 
               Calendar对象检索指定的JDBC 
               TIMESTAMP参数的值作为 
               java.sql.Timestamp对象，以构造 
               Timestamp对象。
getToolTipText	返回由鼠标事件位置确定的组件的工具提示文本
getDeclaredAnnotationsByType	如果此类注释 
               直接存在或 
               间接存在 ，则返回指定类型的此元素的注释。
createDocumentType	创建一个空的 
               DocumentType节点。
put	向属性集添加新属性。
setValue	在检索时，属性的值以字符串形式返回。
setTime	将指定参数设置为给定的 
               java.sql.Time值。
uis	包含真实UI的向量。
dateNow	从默认时区中的系统时钟获取此年表中的当前本地日期。
visitUses	访问 
               uses指令。
previousTransition	获取指定时刻之前的上一个转换。
getCharacterStream	返回包含部分 
               Clob值的 
               Reader对象，该值以pos指定的字符开头，长度为长度字符。
getDate	返回此日期序列中的当前元素
setCursor	设置此对象的光标。
addAll	将指定集中的所有元素添加到此属性。
setOmni	打开或关闭全向模式。
compareTo	比较此缓冲区与另一个缓冲区。
writeLong	将64位的 
               v写入流。
toString	返回总结此缓冲区状态的字符串。
epochSecond	获取1970-01-01T00：00：00Z的纪元的秒数。
getAttributeLocalName	返回提供的索引处的属性的localName
typeNoNulls	表示此数据类型不允许使用 
               NULL值。
getDesignAxisNames	返回每个设计轴的名称。
undoableEditHappened	发生了可撤消的编辑
setTimestamp	将指定参数设置为给定的 
               java.sql.Timestamp值。
isDeclared	除非在DTD中声明了属性，否则返回false。
getPoint2D	给定源Raster中的一个点返回目标点的位置。
removeLayoutComponent	从布局中删除指定的组件。
until	根据指定的单位计算到另一个日期的时间量。
addSingletonComponent	移除现有组件
getList	返回用于在组合框中绘制项目的列表。
findAll	返回此finder可以找到的所有模块引用的集合。
fill	使用graphics2d上下文的设置填充形状的内部
isEntityReference	用于检查此事件是否为EntityReference的实用程序函数。
undo	撤消编辑。
print	使用指定的作业属性打印 
               MultiDoc 。
appRaisedToForeground	当应用程序成为前台应用程序时调用。
getSelectionModel	返回用于维护行选择状态的列表选择模型
subkey	将调用此方法将子项添加到正在构建的Sharding Key对象中。
setModel	将此表的数据模型设置为新模型，并与之注册监听器通知
nextTabStop	给定参考位置，返回下一个制表位。
noteOff	关闭指定的音符。
isNativeMethodPrefixSupported	返回当前JVM配置是否支持 
               setting a native method prefix 。
icSigCmyData	ICC配置文件颜色空间类型签名：'CMY'。
getData	返回默认的第一个浮点数数据数组
icRelativeColorimetric	ICC配置文件渲染意图：RelativeColorimetric。
getChildrenRemoved	获取从给定父元素中删除的子元素。
paste	将系统剪贴板中的文本粘贴到从指定索引开始的文本中。
icSigScreeningDescTag	ICC配置文件标记签名：'scrd'。
readUnsignedShort	从流中读取两个字节，并且（概念上）根据当前字节顺序连接它们，将结果值转换为 
               int ，用 
               0xffff屏蔽它以剥离任何符号扩展名但是，并将结果作为unsigned返回价值 
               int 。
toString	获取单元的描述性名称。
setBlob	将指定参数设置为 
               InputStream对象。
thenComparingDouble	返回一个词典顺序比较器，其中包含一个提取 
               double排序键的函数。
getScrollableUnitIncrement	显示逻辑行或列的组件应计算滚动增量，该增量将完全显示一个新行或列，具体取决于方向的值。
setSize	调整此对象的大小，使其具有宽度和高度。
close	关闭此频道。
isSupported	检查指定的单元是否受支持。
iterator	以适当的顺序返回此双端队列中元素的迭代器。
move	将文件从此目录移动到另一个目录。
getDesignAxisRanges	返回以每个轴的形式[从'到']交错的设计限制数组。
addAll	将指定集中的所有元素添加到此属性。
of	返回包含零元素的不可修改集。
internalFrameClosed	内部框架关闭时调用。
iconOnly	iconOnly价值。
systemAwoke	在系统从睡眠中醒来后调用。
getRowId	以 
               java.sql.RowId对象的形式检索指定的JDBC 
               ROWID参数的值。
firstChild	将 
               TreeWalker移动到当前节点的第一个可见子节点，并返回新节点。
getComponent	获取 
               java.awt.Component与此相关 
               BeanContextChild 。
writeEntityRef	写一个实体引用
stopCellEditing	告诉编辑停止编辑并接受任何部分编辑的值作为编辑器的值。
componentRemoved	从容器中删除组件时调用。
getLength	已过时。
defaultManager	返回默认菜单选择管理器
getTime	检索指定的JDBC 
               TIME参数的值作为 
               java.sql.Time对象，使用给定的 
               Calendar对象构造时间。
remove	从此双端队列中删除第一次出现的指定元素。
contains	检查指定的点是否在此对象的边界内，其中点的x和y坐标定义为相对于对象的坐标系。
uis	包含真实UI的向量。
of	获得ZoneRules的实例。
setLocation	设置对象相对于父对象的位置。
getTypeName	返回描述此类型的字符串，包括有关任何类型参数的信息。
getMenuKeyListeners	返回通过addMenuKeyListener向此JPopupMenu添加的所有菜单键监听器的数组
isCharacters	用于检查此事件是否为字符的实用程序函数。
resolve	实现URIResolver。
get	相对批量 
               获取方法。
remove	从此队列中删除指定元素的单个实例（如果存在）。
icSigCalibrationDateTimeTag	ICC配置文件标记签名：'calt'。
writeBoolean	将 
               boolean值写入流。
getPolyPressure	获得按下指定键的压力。
removePropertyChangeListener	删除值更改的侦听器。
descendingSet	返回此set中包含的元素的逆序视图。
getAlignedSizeRequirements	确定对齐一组组件所需的总空间
getComposite	返回graphics2d上下文中的当前复合
insertUpdate	提供有关插入文档的通知。
uncaughtException	当给定线程由于给定的未捕获异常而终止时调用的方法。
transform	转换给定的类文件并返回一个新的替换类文件。
getTextCharacters	获取与CHARACTERS，SPACE或CDATA事件关联的文本。
contains	如果此队列包含指定的元素，则返回 
               true 。
setTabComponentAt	设置负责渲染指定选项卡标题的组件
adjustInto	调整指定的时态对象以使其具有与此对象相同的日期和时间。
renameNode	重命名类型为 
               ELEMENT_NODE或 
               ATTRIBUTE_NODE的现有节点。
menuDeselected	取消选择菜单时调用。
systemRoot	返回系统根首选项节点。
free	此方法关闭此对象并释放它所拥有的资源。
dragEnter	在拖动操作正在进行时调用，当鼠标指针进入向此侦听 
               DropTarget注册的 
               DropTarget的放置站点的可操作部分时。
getValue	序列的 
               当前元素 。
loadKeyBindings	用指定的绑定填充输入映射
treeNodesChanged	在某个节点（或一组兄弟节点）以某种方式更改后调用。
updateUi	用当前默认外观和感觉中的版本替换当前滚动面板UI对象
setTime	将此 
               RowSet对象命令中的指定参数设置为给定的 
               java.sql.Time值。
compact	压缩此缓冲区 
               （可选操作） 。
icHdrManufacturer	ICC配置文件标题位置：设备制造商。
evaluateExpression	评估指定上下文中的XPath表达式。
setContinuousLayout	设置连续布局属性的值，用户干预期间必须为true以连续显示和布局子组件
getCurrentComponent	获取表格单元格渲染器组件
getWhatToShow	此属性确定通过 
               TreeWalker呈现的节点类型。
getAnnotationMirrors	返回 
               直接出现在此构造上的注释。
reverseOrder	返回一个比较器，它强加 
               自然顺序的反转。
getNamespaceContext	返回当前名称空间上下文。
setBigDecimal	将此 
               RowSet对象命令中的指定参数设置为给定的 
               java.math.BigDecimal值。
getHorizontalScrollBar	返回处理水平滚动的JScrollBar对象
resolveToClass	部分解析一个名字。
actionPerformed	发生操作时调用。
syncWithScrollPane	在将滚动窗格布局设置为JScrollPane的布局管理器后调用此方法
getIconAt	返回索引处的选项卡图标
getSupportedAttributeCategories	确定客户端在为此打印服务设置作业时可以指定的打印属性类别。
handleAsync	返回一个新的CompletionStage，当该阶段正常或异常完成时，使用提供的执行程序执行，该阶段的结果和异常作为所提供函数的参数。
wrap	将字符序列包装到缓冲区中。
visitFloat	访问注释中的 
               float值。
getBaseURI	获取此引用的基URI，如果此信息不可用，则返回null
getPathForLocation	返回指定位置的节点的路径
setCompositionEnabled	根据参数 
               enable的值启用或禁用此输入法进行合成。
getAccessibleAt	返回表中指定行和列的 
               Accessible 。
getSimpleName	返回此元素的简单（非限定）名称。
compact	压缩此缓冲区 
               （可选操作） 。
getDefaultRenderer	当表列中未设置渲染器时，返回要使用的单元格渲染器
cancelLatestCommittedText	从文本编辑组件获取最新提交的文本，并将其从组件的文本正文中删除。
resolve	实现URIResolver。
hashCode	此期间的哈希码。
getPublicId	表示法的公共标识符，如果没有给出，则为null。
mouseReleased	在组件上释放鼠标按钮时调用。
getTransform	返回graphics2d上下文中当前变换的副本
icSigBlueMatrixColumnTag	ICC配置文件标记签名：'bXYZ'。
intersects	测试 
               Shape的内部是否与指定的 
               Rectangle2D的内部相交。
getValue	返回建议完成的文本。
getUnnormalizedComponents	给定一个归一化的组分数组，返回所有颜色/alpha组分的未归一化形式数组
superShardingKey	指定创建连接时要使用的 
               superShardingKey
isInsertColumn	从此TabbedPane中移除变更监听器
getGenericDeclaration	返回表示声明此类型变量的泛型声明的 
               GenericDeclaration对象。
fillRoundRect	用当前颜色填充指定的圆角矩形
setPixels	通过一次或多次调用此方法传递图像的像素
alignedSlice	创建一个新的字节缓冲区，其内容是此缓冲区内容的共享和对齐的子序列。
plusYears	返回此 
               ZonedDateTime的副本，并添加指定的年数。
paramString	返回此JTextArea的字符串表示
remove	从该列表中删除指定元素的第一个匹配项（如果存在）（可选操作）。
setSelectedIndex	将模型的选定索引设置为 
               索引 。
getTableCellRendererComponent	返回用于绘制单元格的组件。
isEqual	检查此日期时间的瞬间是否等于指定日期时间的瞬间。
getXmlVersion	作为文本声明的一部分的属性，指定此实体的版本号，当它是外部解析实体时。
processKeyBinding	子类化以检查所有子菜单
setContentPane	“contentPane”是应用程序特定组件的主要容器。
clone	制作属性集的副本。
getGenericDeclaration	返回表示声明此类型变量的泛型声明的 
               GenericDeclaration对象。
withMonth	返回此 
               MonthDay的副本，其中年份已更改。
writeByte	将参数 
               v的八个低位写入输出流。
getExtendedState	获取此框架的状态
of	通过转换URI返回 
               Path 。
writeDouble	将 
               double值写入输出流，该值由8个字节组成。
icSaturation	ICC配置文件渲染意图：饱和度。
getLong	获取此时代指定字段的值为 
               long 。
getPreferredScrollableViewportSize	返回视图组件的视口的首选大小。
getRenderingHints	返回此变换操作使用的渲染提示
hashCode	返回此映射条目的哈希码值。
removeElement	从模型中删除项目。
mismatch	查找并返回此缓冲区与给定缓冲区之间第一个不匹配的相对索引。
indexOfComponent	返回指定组件的选项卡索引
of	返回包含九个元素的不可修改列表。
getChildCount	返回子项数 
               parent 。
getNotations	返回包含DTD中声明的符号的List。
getDoc	获取当前的doc对象。
setNClob	将指定参数设置为 
               Reader对象。
removeStatementEventListener	从驱动程序检测到 
               PreparedStatement已关闭或无效时将通知的组件列表中删除指定的 
               StatementEventListener 。
addChangeListener	将ChangeListener添加到模型的侦听器列表中。
getAnnotationType	返回此批注的类型。
isExpanded	如果路径标识的节点当前已展开，则返回true
read	从流中读取最多 
               b.length个字节，并将它们存储在从索引0开始的 
               b 。
uis	包含真实UI的向量。
columnAtPoint	将索引处的前景色设置为foreground，可以为null，在这种情况下选项卡的前景色将默认为此TabbedPane的前景色
remainingCapacity	返回理想情况下（在没有内存或资源限制的情况下）此队列可以无阻塞地接受的其他元素的数量，如果没有内部限制，则 
               Integer.MAX_VALUE 。
setDate	将此 
               RowSet对象命令中的指定参数设置为给定的 
               java.sql.Date值。
evaluate	在指定的上下文中计算已编译的XPath表达式，并将结果作为指定的类型返回。
unloadInstruments	从指定的MIDI声音库中卸载指定音色引用的乐器。
writeShorts	将一系列短路写入当前位置的流。
printFiles	当要求应用程序打印文件列表时调用。
setNCharacterStream	将指定参数设置为 
               Reader对象。
openWriter	返回此文件对象的Writer。
appReopened	应用程序重新打开时调用
getIconHeight	返回给定合成器上下文的图标高度。
open	打开具有指定格式的行，使该行获取任何所需的系统资源并开始运行。
getMidiDevice	获得 
               MidiDevice对象，它是这个的所有者 
               Transmitter 。
getWhatToShow	告诉 
               LSSerializer过滤器显示哪些类型的节点。
wrap	将双数组包装到缓冲区中。
parallel	返回并行的等效流。
fillOval	用当前颜色填充由指定矩形界定的椭圆
serviceAvailable	名为的服务已注册。
现在可以对此服务进行getService请求。
firstEntry	返回与此映射中的最小键关联的键 - 值映射，如果映射为空，则 
               null 。
getMargin	返回工具栏的边框与其按钮之间的边距
equals	判断此缓冲区是否等于另一个对象。
read	尝试将字符读入指定的字符缓冲区。
getAnnotationsByType	返回与此构造 
               关联的注释。
position	检索指定的 
               Clob对象 
               searchstr在此 
               Clob对象中出现的字符位置。
matchURI	尝试通过uri元素在目录中查找匹配的条目。
resendTopDownLeftRight	响应图像消费者对自上而下、自左而右（TDLR）顺序重发像素数据的请求
getDeclaredAnnotation	如果 
               直接存在这样的注释，则返回指定类型的此元素的注释，否则返回null。
icSigCmykData	ICC配置文件颜色空间类型签名：'CMYK'。
subscribe	如果可能，添加给定的订阅者。
cancelQuit	通知外部退出请求者用户已明确取消挂起的退出，并使应用程序保持运行。
getUi	返回工具栏的当前UI
getScrollableUnitIncrement	显示逻辑行或列的组件应计算完全暴露一个新行或列的滚动增量，取决于orientation的值
getPoint2D	给定源图像中的一个点，返回相应目标点的位置。
getSampleSize	返回指定波段的每个样本的位数
addCellEditorListener	向编辑器停止时通知的列表添加侦听器，或取消编辑。
setTime	使用给定的 
               Calendar对象将指定参数设置为给定的 
               java.sql.Time值。
add	添加一个带有指定选项卡标题的组件
setNClob	将指定参数设置为 
               Reader对象。
setShowGrid	设置表是否绘制单元格周围的网格线
remove	删除序列的某些部分。
get	获取此时代指定字段的值为 
               int 。
hashCode	遵守 
               Object.hashCode的总合同。
showInternalInputDialog	返回输入选择值
getAccessibleContext	返回与此JPasswordField关联的可访问上下文
caretUpdate	插入位置更新时调用。
keyTyped	键入键时调用。
removeConsumer	从对此图像数据感兴趣的消费者列表中移除一个图像消费者
get	绝对 
               获取方法。
shardingKey	指定创建连接时使用的 
               shardingKey
getPrinterJob	返回控制当前呈现请求的 
               PrinterJob 。
startDTD	报告DTD声明的开始（如果有）。
setBinaryStream	将指定参数设置为给定输入流。
delete	删除用户定义的属性。
getTextStart	返回存储第一个字符（此文本事件）的文本字符数组的偏移量。
append	将指定的字符追加到此 
               Appendable 。
isSupported	检查是否支持指定的字段。
wrap	将字符序列包装到缓冲区中。
isCellEditable	如果 
               rowIndex和 
               columnIndex处的单元格是可编辑的，则返回true。
replace	仅当前映射到某个值时才替换键的条目。
asReadOnlyBuffer	创建一个新的只读双缓冲区，共享此缓冲区的内容。
dispose	释放此输入方法使用的资源。
icSigSpace6CLR	ICC配置文件颜色空间类型签名：'6CLR'。
isBorderPainted	检查是否应绘制边框
setNamespaceContext	建立命名空间上下文。
getAttributeValue	返回索引处属性的值
hashCode	返回此字体的哈希码
getTreeCellRendererComponent	将当前树单元格的值设置为 
               value 。
drawString	渲染指定迭代器的文本，根据文本属性类的规范应用其属性
isBorderPainted	返回边框绘制属性的值
thumbnailProgress	报告相关 
               ImageWriter当前缩略图写入的大致完成程度。
getMinimumAccessibleValue	获取此对象的最小值为 
               Number 。
getColumnHeader	返回列头
flushBefore	丢弃指定位置之前的流的初始部分。
delete	删除此文件对象。
getMenuBar	已弃用，自Swing版本1.0.3起，由getJMenuBar替代
screenAwoke	当系统显示从省电睡眠中唤醒时调用。
getBoundsAt	返回索引处的选项卡边界
getTimestamp	以 
               java.sql.Timestamp对象的形式检索JDBC 
               TIMESTAMP参数的值。
removePrintJobListener	从此打印作业中删除侦听器。
permissions	返回文件的权限。
getTile	返回tile（tileX，tileY）。
getParameter	如果已知，则返回参数的值。
read	从数据线的输入缓冲区读取音频数据。
flip	翻转此缓冲区。
serviceRevoked	名为的服务已被撤销。
将不再满足此服务的getService请求。
getColumn	返回表中标识符等于identifier的列的表列对象，使用equals进行比较
registerOutParameter	将名为 
               parameterName的OUT参数注册到JDBC类型 
               sqlType 。
getLineMetrics	返回指定字符数组在指定图形上下文中的行度量对象
systemAboutToSleep	当系统即将睡觉时调用。
minusDays	返回此 
               ZonedDateTime的副本，并减去指定的天数。
getTransparency	返回这个渐变涂料的透明模式
getNano	获取纳秒级字段。
setOneTouchExpandable	设置一键展开属性的值，JSplitPane必须为true才能在分隔符上提供UI小部件以快速展开/折叠分隔符
icSigRedMatrixColumnTag	ICC配置文件标记签名：'rXYZ'。
setBytes	将给定的字节数组写入此 
               Blob对象所代表的 
               BLOB值，从位置 
               pos开始，并返回写入的字节数。
putLong	用于写入长值的相对 
               put方法 
               （可选操作） 。
visitArray	访问数组类型。
getID	检索响应的对象标识符。
appendData	将字符串附加到节点的字符数据的末尾。
equals	检查此期间是否等于另一个期间，包括年表。
setSelectionRow	选择指定行处显示的节点
format	使用指定的格式化程序格式化今年 - 月。
icHdrDeviceClass	ICC配置文件标题位置：配置文件的类型。
setDocumentLocator	接收用于查找SAX文档事件原点的对象。
getSchemaTypeInfo	与此属性关联的类型信息。
getPeer	已弃用，字体渲染现已独立于平台
evaluate	使用指定的参数评估函数。
getWholeText	返回 
               Text节点逻辑上相邻的文本节点到此节点的所有文本，按文档顺序连接。
paintValue	将值的表示绘制到屏幕空间的给定区域中。
getComponent	返回用于呈现值的组件。
getStringBounds	返回指定图形上下文中指定字符串的边界
getBlob	以Java编程语言中Blob对象的形式检索JDBC BLOB参数的值。
setColumnType	将指定列的SQL类型设置为给定的类型。
isLocallyDefined	确定给定的键序列是否在本地定义。
focusLost	组件失去键盘焦点时调用。
setString	将指定参数设置为给定的Java 
               String值。
add	向商店添加一个HTTP cookie。
setGlassPane	glassPane始终是rootPane的第一个子节点，rootPanes布局管理器确保它始终与rootPane一样大。
getBounds	以 
               Rectangle对象的形式获取此对象的边界。
addPropertyChangeListener	注册PropertyChange事件的侦听器。
typePredNone	表示此类型不支持 
               WHERE搜索子句。
addActionListener	添加ActionListener。
read	读取资源，返回包含资源内容的字节缓冲区。
showInputDialog	返回初始值
setComponentAt	将索引处的组件设置为组件
getShaper	为提供的Unicode范围返回一个整形器
setSamples	从包含每个数据数组元素一个样本的int数组中设置指定像素矩形区域内指定波段的样本
thenApplyAsync	返回一个新的CompletionStage，当这个阶段正常完成时，使用提供的Executor执行，该阶段的结果作为所提供函数的参数。
componentResized	组件大小更改时调用。
setObject	使用给定对象设置指定参数的值。
getLatency	获得此合成器引起的处理延迟，以微秒表示。
headMap	返回此映射的部分视图，其键严格小于 
               toKey 。
thenAcceptBothAsync	返回一个新的CompletionStage，当这个和另一个给定的阶段都正常完成时，使用这个阶段的默认异步执行工具执行，其中两个结果作为提供的操作的参数。
isCompletelyDirty	方便的方法，如果acomponent在下一次绘制脏区域时将被完全绘制，则返回true
globalHierarchyLock	BeanContext和 
               BeanContextServices实现器使用此全局锁来序列化 
               BeanContext层次结构中的更改以及任何服务请求等。
setInt	将指定参数设置为给定的Java 
               int值。
getPropertyNames	返回getProperty识别的名称列表。
createContentHandler	创建一个新的 
               ContentHandler以从 
               URLStreamHandler读取对象。
writeToURI	一种方便的方法，就像使用 
               LSSerializer.write调用 
               LSOutput ，没有指定编码， 
               LSOutput.systemId设置为 
               uri参数。
addFirst	如果可以在不违反容量限制的情况下立即插入指定元素，则在此双端队列的前面插入指定元素，如果当前没有可用空间，则抛出 
               IllegalStateException 。
setString	将给定的Java 
               String写入此 
               Clob对象在位置 
               pos处指定的 
               CLOB值。
writeSQLXML	将SQL 
               XML值写入流。
setSelectionVisible	设置选择的可见性
array	返回支持此缓冲区的double数组 
               （可选操作） 。
icHdrColorSpace	ICC配置文件标题位置：数据的颜色空间。
removeActionListener	删除ActionListener
getDate	检索指定的JDBC 
               DATE参数的值作为 
               java.sql.Date对象，使用给定的 
               Calendar对象构造日期。
compareTo	比较此缓冲区与另一个缓冲区。
getChar	用于读取char值的绝对 
               get方法。
subSet	返回此set的部分视图，其元素范围为 
               fromElement到 
               toElement 。
dropActionChanged	在用户修改了放置手势时调用。
getSubimage	返回由指定矩形区域定义的子图像
getShiftKey	用于指示在事件触发期间是否按下了“shift”键。
now	从默认时区中的系统时钟获取当前年月。
getContainer	获取 
               java.awt.Container与此相关 
               BeanContext 。
setNCharacterStream	将指定参数设置为 
               Reader对象。
minusNanos	返回此 
               ZonedDateTime的副本，减去指定的纳秒数。
putInt	用于写入int值的相对 
               put方法 
               （可选操作） 。
printMessage	打印指定类型的消息。
addStatementEventListener	注册一个 
               StatementEventListener这个 
               PooledConnection对象。
getMinTileY	返回Y方向上的最小tile索引。
intersects	测试 
               Shape的内部是否与指定矩形区域的内部相交。
getOmni	获得当前的全向模式。
menuSelected	选择菜单时调用。
setQueryTimeout	将驱动程序等待语句执行的最长时间设置为给定的秒数。
setValue	设置（或更改）要编辑的对象。
ofInstant	从通过组合本地日期时间和偏移量形成的瞬间获得 
               ZonedDateTime的实例。
setRowHeight	将所有单元格的高度设置为行高，重新验证，并重绘
isSelected	指示是否已选择按钮。
endComposition	结束当前可能在此上下文中进行的任何输入组合。
createStandardLabels	创建一个数值文本标签的哈希表，从滑块最小值开始，使用指定的增量
paramString	返回表示此框架状态的字符串
getAttributeType	返回提供的索引处的属性的XML类型
uis	包含真实UI的向量。
setOrientation	设置工具栏的方向
andThen	返回首先将此运算符应用于其输入的 
               after运算符，然后将 
               after运算符应用于结果。
hashCode	遵守 
               Object.hashCode的总合同。
getColumns	返回 
               Enumeration中所有列的 
               Enumeration 。
caretPositionChanged	当组合文本中的插入符号发生更改时调用。
setBlob	使用给定的 
               Blob值设置此 
               RowSet对象命令中的指定参数。
getData	返回数据缓冲区中默认的第一个整数数据数组
failed	操作失败时调用。
slice	创建一个新的短缓冲区，其内容是此缓冲区内容的共享子序列。
paramString	返回此JTree的字符串表示
childrenAdded	将子项或子项列表添加到此侦听器已注册的 
               BeanContext时调用。
visitExports	访问 
               输出指令。
getDefaults	返回外观默认值
childrenAdded	将子项或子项列表添加到此侦听器已注册的 
               BeanContext时调用。
matchURI	尝试通过uri元素在目录中查找匹配的条目。
hasAttributeNS	返回 
               true在此元素上被指定或具有默认值，与给定的本地名称和命名空间的属性URI 
               false否则。
icHdrManufacturer	ICC配置文件标题位置：设备制造商。
getLineMetrics	返回指定字符串在指定图形上下文中的行度量对象
removeChangeListener	删除 
               listener作为模型中更改的侦听器。
icSigHead	ICC Profile Tag签名：'head' - 特别。
isLoaded	判断此缓冲区的内容是否驻留在物理内存中。
getBackground	获取此对象的背景颜色。
setFloat	将指定参数设置为给定的Java 
               float值。
getDocumentElement	这是一个便捷属性，允许直接访问作为文档的文档元素的子节点。
contains	测试 
               Shape的内部 
               Shape完全包含指定的矩形区域。
containsValue	如果此属性集包含给定的属性值，则返回 
               true 。
showInternalMessageDialog	返回实现此组件外观和感觉的UI类的名称
treeNodesChanged	在某个节点（或一组兄弟节点）以某种方式更改后调用。
from	从时态对象获得 
               ChronoLocalDate的实例。
